,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
208,SEVN,Seven Hills Realty Trust,182.32M,4.47%,62012,34.51M
209,SACH,Sachem Capital Corp.,178.25M,1.78%,399947,64.59M
210,MITT,"AG Mortgage Investment Trust, Inc.",177.60M,1.16%,152768,93.85M
211,CIO,"City Office REIT, Inc.",176.68M,-2.45%,127497,179.10M
212,STRS,Stratus Properties Inc.,176.23M,2.36%,9895,26.30M
213,DOUG,Douglas Elliman Inc.,175.75M,4.17%,608291,955.58M
214,BHR,Braemar Hotels & Resorts Inc.,173.09M,-2.46%,333978,733.43M
215,STHO,Star Holdings,158.50M,-1.01%,124135,123.05M
216,MDV,Modiv Inc.,133.46M,1.03%,6839,46.94M
217,AXR,AMREP Corporation,123.51M,-1.28%,3720,44.53M
218,LFT,"Lument Finance Trust, Inc.",119.61M,0.88%,47831,28.01M
219,EARN,Ellington Residential Mortgage REIT,116.91M,1.12%,175030,-634.00K
220,AJX,Great Ajax Corp.,108.61M,1.26%,164821,-17.07M
221,CHMI,Cherry Hill Mortgage Investment Corporation,103.58M,1.47%,132418,-21.20M
222,OPI,Office Properties Income Trust,101.90M,-1.44%,1590717,533.55M
223,MAYS,"J.W. Mays, Inc.",88.69M,-3.22%,4,22.13M
224,ACR,ACRES Commercial Realty Corp.,86.55M,-0.72%,13024,91.13M
225,CMCT,Creative Media & Community Trust Corporation,82.03M,-,1254,115.66M
226,DOMA,Doma Holdings Inc.,74.04M,2.82%,17536,335.84M
227,AIRE,reAlpha Tech Corp.,70.60M,-10.61%,938551,439.12K
228,ASPS,Altisource Portfolio Solutions S.A.,70.41M,-,67897,145.07M
229,LRE,"Lead Real Estate Co., Ltd",63.71M,-4.02%,19174,118.09M
230,AHT,"Ashford Hospitality Trust, Inc.",60.19M,-4.08%,572764,1.37B
231,SOHO,Sotherly Hotels Inc.,58.44M,-0.71%,26865,173.03M
232,FTHM,Fathom Holdings Inc.,55.69M,-3.15%,12927,354.59M
233,LOAN,"Manhattan Bridge Capital, Inc.",54.62M,-0.21%,25632,9.80M
234,SELF,"Global Self Storage, Inc.",47.14M,-0.24%,220992,12.27M
235,WETH,Wetouch Technology Inc.,45.67M,-1.57%,146627,39.88M
236,CHCI,"Comstock Holding Companies, Inc.",44.69M,1.08%,2811,43.01M
237,LODE,Comstock Inc.,44.13M,-4.99%,493029,1.27M
238,RFL,"Rafael Holdings, Inc.",41.17M,-1.19%,44181,277.00K
239,LRHC,La Rosa Holding Corp.,23.89M,-1.12%,37514,26.32M
240,OMH,Ohmyhome Limited,23.23M,-6.48%,400537,4.36M
241,GIPR,"Generation Income Properties, Inc.",20.05M,3.78%,41654,5.91M
242,LEJU,Leju Holdings Limited,18.33M,3.41%,2986,332.27M
243,GYRO,"Gyrodyne, LLC",17.66M,-3.95%,150,-
244,NYC,American Strategic Investment Co,16.47M,0.15%,5817,63.53M
245,XIN,"Xinyuan Real Estate Co., Ltd.",16.22M,-0.37%,3707,754.13M
246,MDJH,MDJM Ltd,15.64M,0.78%,2485,29.45K
247,SQFT,"Presidio Property Trust, Inc.",15.17M,-,24167,17.63M
248,WHLR,"Wheeler Real Estate Investment Trust, Inc.",14.94M,-,207762,102.33M
249,IHT,InnSuites Hospitality Trust,14.23M,-5.06%,1771,7.39M
250,AEI,Alset EHome International Inc.,12.98M,-0.15%,16145,21.95M
251,SGD,Safe and Green Development Corporation,12.85M,-11.21%,1466814,-
252,MDRR,"Medalist Diversified REIT, Inc.",12.67M,0.09%,39923,10.27M
253,TPHS,Trinity Place Holdings Inc.,8.91M,-7.86%,180150,42.33M
254,GBR,"New Concept Energy, Inc.",5.36M,-0.41%,4000,172.00K
255,GGE,Green Giant Inc.,5.18M,-6.47%,6720859,1.80M
256,ALBT,Avalon GloboCare Corp.,4.40M,-0.26%,16886,1.23M
257,VINO,"Gaucho Group Holdings, Inc.",4.03M,-6.41%,2028188,1.99M
258,DUO,Fangdd Network Group Ltd.,2.42M,11.53%,4640441,35.17M
259,PW,Power REIT,2.10M,0.15%,4899,4.00M
260,UK,Ucommune International Ltd,2.10M,-14.78%,243909,87.50M
