,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
230,HGAS,Global Gas Corporation,45.20M,9.00%,110567,-
231,XPL,Solitario Zinc Corp.,43.87M,-2.74%,48594,-
232,CGA,"China Green Agriculture, Inc.",41.46M,3.00%,6947,112.20M
233,BHIL,"Benson Hill, Inc.",40.18M,-1.45%,347948,404.61M
234,HUDI,"Huadi International Group Co., Ltd.",38.50M,-,44279,84.33M
235,USAU,U.S. Gold Corp.,36.30M,-3.08%,31490,-
236,GORO,Gold Resource Corporation,35.12M,-13.61%,1143423,108.96M
237,ELBM,Electra Battery Materials Corporation,31.06M,-1.12%,115669,-
238,WWR,"Westwater Resources, Inc.",27.20M,-3.23%,441562,-
239,BYU,"BAIYU Holdings, Inc.",26.10M,-3.57%,26846,120.11M
240,UAMY,United States Antimony Corporation,24.97M,5.04%,348811,8.45M
241,FSI,"Flexible Solutions International, Inc.",23.75M,-2.09%,11484,41.11M
242,PZG,Paramount Gold Nevada Corp.,22.31M,1.11%,170570,-
243,GRFX,Graphex Group Limited,20.68M,-4.30%,27748,42.01M
244,INHD,Inno Holdings Inc.,20.39M,-0.10%,72562,657.36K
245,ZKIN,"ZK International Group Co., Ltd.",19.91M,1.88%,11815,109.16M
246,SEED,Origin Agritech Limited,19.57M,-1.94%,25574,12.83M
247,AAU,Almaden Minerals Ltd.,18.80M,-0.44%,285666,-
248,JCTCF,Jewett-Cameron Trading Company Ltd.,18.80M,-,543,51.52M
249,LITM,Snow Lake Resources Ltd.,18.69M,-2.17%,138192,-
250,HLP,Hongli Group Inc.,17.32M,2.86%,11279,18.71M
251,AUST,Austin Gold Corp.,15.66M,-1.70%,37194,-
252,GURE,"Gulf Resources, Inc.",14.40M,-,17020,41.76M
253,RETO,"ReTo Eco-Solutions, Inc.",8.24M,-11.82%,44934,4.82M
254,CNEY,CN Energy Group. Inc.,6.32M,-3.13%,30424,57.90M
255,AUMN,Golden Minerals Company,5.55M,-9.92%,121650,16.29M
256,SNES,"SenesTech, Inc.",4.43M,-3.09%,47349,1.19M
257,SVFD,"Save Foods, Inc.",4.41M,1.36%,7544,381.68K
258,YTEN,"Yield10 Bioscience, Inc.",3.08M,-7.41%,91027,147.00K
259,ITP,"IT Tech Packaging, Inc.",2.97M,-1.69%,11507,86.96M
260,RKDA,"Arcadia Biosciences, Inc.",2.83M,1.58%,6533,5.50M
261,CRKN,Crown ElectroKinetics Corp.,2.27M,-16.56%,10339240,59.00K
