,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
213,WIRE,Encore Wire Corporation,3.48B,-1.02%,111238,2.57B
214,HI,"Hillenbrand, Inc.",3.47B,0.37%,243369,2.94B
215,KFY,Korn Ferry,3.43B,-0.59%,300208,2.83B
216,GFF,Griffon Corporation,3.42B,2.01%,306079,2.68B
217,CXT,"Crane NXT, Co.",3.39B,1.14%,262031,1.39B
218,NPO,"EnPro Industries, Inc.",3.37B,1.07%,54206,1.06B
219,ENOV,Enovis Corporation,3.37B,-0.29%,203284,1.71B
220,STRL,"Sterling Infrastructure, Inc.",3.36B,3.14%,281622,1.97B
221,CRS,Carpenter Technology Corporation,3.32B,-3.86%,609374,2.72B
222,JBT,John Bean Technologies Corporation,3.31B,1.77%,151834,1.66B
223,REZI,"Resideo Technologies, Inc.",3.31B,-0.22%,468108,6.24B
224,UNF,UniFirst Corporation,3.22B,0.67%,45015,2.28B
225,ARCB,ArcBest Corporation,3.20B,-1.04%,310377,4.43B
226,WOR,"Worthington Industries, Inc.",3.16B,1.40%,235515,4.61B
227,SEB,Seaboard Corporation,3.12B,0.67%,2662,9.56B
228,HAYW,"Hayward Holdings, Inc.",3.00B,1.07%,697496,992.45M
229,MGRC,McGrath RentCorp,2.95B,0.07%,236852,831.84M
230,ICFI,"ICF International, Inc.",2.88B,-0.68%,65216,1.96B
231,DOOR,Masonite International Corporation,2.87B,0.04%,491242,2.83B
232,BRC,Brady Corporation,2.78B,0.21%,354603,1.34B
233,KTOS,"Kratos Defense & Security Solutions, Inc.",2.76B,-1.16%,811411,1.04B
234,PLUG,Plug Power Inc.,2.75B,-3.28%,27160010,891.34M
235,ROAD,"Construction Partners, Inc.",2.71B,-0.45%,237985,1.62B
236,GOGL,Golden Ocean Group Limited,2.68B,2.28%,2304890,885.77M
237,SKYW,"SkyWest, Inc.",2.68B,1.14%,410492,2.94B
238,ABM,ABM Industries Incorporated,2.66B,-0.52%,329168,8.17B
239,HUBG,"Hub Group, Inc.",2.65B,0.36%,296474,4.20B
240,MYRG,MYR Group Inc.,2.64B,-0.99%,202436,3.64B
241,LZ,"LegalZoom.com, Inc.",2.54B,0.59%,849610,660.73M
242,RXO,"RXO, Inc.",2.51B,-1.20%,298160,3.93B
243,WERN,"Werner Enterprises, Inc.",2.48B,-0.82%,429943,3.28B
244,MWA,"Mueller Water Products, Inc.",2.46B,-0.70%,436120,1.22B
245,JBLU,JetBlue Airways Corporation,2.44B,-1.28%,14176480,9.62B
246,ALG,Alamo Group Inc.,2.43B,-0.28%,34335,1.69B
247,PGTI,"PGT Innovations, Inc.",2.40B,0.05%,601997,1.50B
248,HTZ,"Hertz Global Holdings, Inc.",2.39B,-,2684834,9.37B
249,GVA,Granite Construction Incorporated,2.39B,-0.59%,327132,3.51B
250,BE,Bloom Energy Corporation,2.35B,-1.53%,3931085,1.33B
251,FA,First Advantage Corporation,2.32B,0.57%,897961,763.76M
252,ROCK,"Gibraltar Industries, Inc.",2.30B,0.56%,105373,1.38B
253,MIR,"Mirion Technologies, Inc.",2.26B,1.00%,2152475,800.90M
254,AIR,AAR Corp.,2.25B,0.55%,135870,2.17B
255,RKLB,"Rocket Lab USA, Inc.",2.19B,-3.13%,8452100,244.59M
256,PRIM,Primoris Services Corporation,2.16B,-0.10%,302457,5.72B
257,JBI,"Janus International Group, Inc.",2.13B,-0.62%,783474,1.07B
258,TRN,"Trinity Industries, Inc.",2.13B,-0.88%,303394,2.98B
259,SBLK,Star Bulk Carriers Corp.,2.09B,2.41%,2009292,-
260,IESC,"IES Holdings, Inc.",2.08B,2.50%,134677,2.44B
261,ENR,"Energizer Holdings, Inc.",2.07B,0.73%,382482,2.91B
262,HEES,"H&E Equipment Services, Inc.",2.07B,1.22%,164735,1.47B
263,TNC,Tennant Company,2.07B,0.58%,71345,1.24B
264,TGH,Textainer Group Holdings Limited,2.07B,-,397764,789.86M
265,SXI,Standex International Corporation,2.05B,-0.25%,43636,735.83M
266,ATMU,Atmus Filtration Technologies Inc.,2.05B,3.30%,7009450,1.63B
267,HNI,HNI Corporation,2.03B,-0.83%,262691,2.43B
268,KMT,Kennametal Inc.,1.98B,-0.52%,250208,2.07B
269,HLMN,Hillman Solutions Corp.,1.91B,0.31%,690540,1.48B
270,B,Barnes Group Inc.,1.89B,1.07%,244710,1.45B
271,SFL,SFL Corporation Ltd.,1.85B,0.52%,499949,670.39M
272,MRCY,"Mercury Systems, Inc.",1.84B,-2.33%,388880,895.17M
273,POWL,"Powell Industries, Inc.",1.82B,4.59%,361296,766.47M
274,HURN,Huron Consulting Group Inc.,1.81B,-1.57%,132510,1.40B
275,CODI,Compass Diversified,1.80B,-0.99%,135927,2.06B
276,EPAC,Enerpac Tool Group Corp.,1.79B,0.12%,103116,600.79M
277,AZZ,AZZ Inc.,1.79B,1.21%,84808,1.51B
278,UPWK,Upwork Inc.,1.76B,-1.41%,1131930,689.14M
279,GIC,Global Industrial Company,1.71B,-0.49%,73305,1.21B
280,UP,Wheels Up Experience Inc.,1.69B,1.65%,626056,1.25B
281,ULCC,"Frontier Group Holdings, Inc.",1.64B,1.90%,1789447,3.59B
282,HOLI,Hollysys Automation Technologies Ltd.,1.59B,-0.74%,454238,786.22M
283,NVEE,"NV5 Global, Inc.",1.58B,-0.13%,35315,861.74M
284,GBX,"The Greenbrier Companies, Inc.",1.57B,-1.29%,255474,3.99B
285,BBU,Brookfield Business Partners L.P.,1.57B,0.48%,15938,55.07B
286,JELD,"JELD-WEN Holding, Inc.",1.57B,1.79%,245378,4.30B
287,MRTN,"Marten Transport, Ltd.",1.54B,0.74%,563072,1.13B
288,ENVX,Enovix Corporation,1.53B,0.22%,3412313,7.64M
289,GEO,"The GEO Group, Inc.",1.50B,-0.34%,1596213,2.41B
290,ACHR,Archer Aviation Inc.,1.48B,6.69%,9367351,-
291,NSSC,"Napco Security Technologies, Inc.",1.47B,1.51%,576027,177.41M
292,SCS,Steelcase Inc.,1.46B,-1.17%,277199,3.19B
293,HLIO,"Helios Technologies, Inc.",1.46B,-0.11%,57350,835.60M
294,CDRE,"Cadre Holdings, Inc.",1.45B,3.05%,186791,481.59M
295,DSGR,"Distribution Solutions Group, Inc.",1.44B,0.79%,49034,1.57B
296,KFRC,Kforce Inc.,1.43B,-1.10%,79802,1.53B
297,EVEX,"Eve Holding, Inc.",1.40B,1.73%,22823,-
298,PRG,"PROG Holdings, Inc.",1.38B,0.63%,418412,2.41B
299,VVX,"V2X, Inc.",1.37B,0.07%,75078,3.96B
300,DAC,Danaos Corporation,1.37B,1.87%,78760,973.58M
301,ZIM,ZIM Integrated Shipping Services Ltd.,1.37B,2.19%,7508030,6.15B
302,NMM,Navios Maritime Partners L.P.,1.37B,1.57%,330720,1.35B
303,CMRE,Costamare Inc.,1.32B,2.49%,324372,1.51B
304,FLYX,"flyExclusive, Inc.",1.32B,-13.54%,47300,497.41M
305,ASPN,"Aspen Aerogels, Inc.",1.32B,0.40%,532898,238.72M
306,CDLR,Cadeler A/S,1.31B,-0.71%,47313,-
307,KAMN,Kaman Corporation,1.30B,-0.07%,179577,775.85M
308,ALGT,Allegiant Travel Company,1.30B,-1.11%,220902,2.51B
309,CTOS,"Custom Truck One Source, Inc.",1.29B,-2.43%,565703,1.87B
310,LNN,Lindsay Corporation,1.28B,-1.78%,59298,659.28M
311,APOG,"Apogee Enterprises, Inc.",1.25B,0.04%,68006,1.40B
312,MEG,"Montrose Environmental Group, Inc.",1.25B,-2.11%,270874,624.21M
313,WNC,Wabash National Corporation,1.23B,0.18%,243426,2.54B
314,ZIP,"ZipRecruiter, Inc.",1.23B,-1.94%,390205,645.72M
315,CMCO,Columbus McKinnon Corporation,1.20B,-0.57%,59124,1.00B
316,VSEC,VSE Corporation,1.18B,1.33%,125332,860.49M
317,NX,Quanex Building Products Corporation,1.15B,0.46%,95272,1.11B
318,AMRC,"Ameresco, Inc.",1.11B,-2.39%,595636,1.37B
319,TGI,"Triumph Group, Inc.",1.08B,-2.00%,647543,1.36B
320,ARLO,"Arlo Technologies, Inc.",1.07B,2.16%,969696,491.18M
321,RYI,Ryerson Holding Corporation,1.04B,0.23%,109109,5.11B
322,TDCX,TDCX Inc.,1.04B,0.14%,293130,498.75M
323,SP,SP Plus Corporation,1.02B,-0.15%,141101,1.78B
324,BXC,BlueLinx Holdings Inc.,1.02B,1.45%,61564,3.14B
325,HY,"Hyster-Yale Materials Handling, Inc.",1.02B,-1.09%,39924,4.12B
326,BLDP,Ballard Power Systems Inc.,996.84M,-4.17%,3107839,102.37M
327,GRC,The Gorman-Rupp Company,984.76M,-0.24%,45586,659.51M
328,CRAI,"CRA International, Inc.",976.57M,0.26%,29198,623.98M
329,CPLP,Capital Product Partners L.P.,974.19M,3.22%,78599,360.59M
330,ULH,"Universal Logistics Holdings, Inc.",968.57M,-1.49%,20644,1.73B
331,TRNS,"Transcat, Inc.",964.23M,-0.19%,28619,250.64M
332,REVG,"REV Group, Inc.",958.56M,1.09%,617328,2.64B
333,HTLD,"Heartland Express, Inc.",958.09M,0.66%,336308,1.21B
334,ECO,Okeanis Eco Tankers Corp.,956.81M,-1.21%,49767,413.10M
335,THR,"Thermon Group Holdings, Inc.",955.47M,1.80%,219885,489.46M
336,HRT,HireRight Holdings Corporation,953.69M,-0.07%,284704,731.20M
337,PRLB,"Proto Labs, Inc.",940.40M,-0.74%,98746,503.88M
338,FWRD,Forward Air Corporation,925.14M,-1.76%,643329,1.72B
339,ASTE,"Astec Industries, Inc.",919.52M,-1.21%,102960,1.34B
340,BV,"BrightView Holdings, Inc.",915.68M,1.34%,436177,2.79B
341,NKLA,Nikola Corporation,913.56M,0.14%,82685068,35.84M
342,MATW,Matthews International Corporation,913.40M,-1.41%,82868,1.88B
343,TWI,"Titan International, Inc.",910.72M,-0.16%,170898,1.82B
344,AZUL,Azul S.A.,895.14M,3.86%,1655421,3.01B
345,KRNT,Kornit Digital Ltd.,892.57M,-0.98%,260956,219.79M
346,GNK,Genco Shipping & Trading Limited,887.94M,1.92%,842646,383.83M
347,XMTR,"Xometry, Inc.",882.20M,-2.90%,502972,463.41M
348,KELYB,"Kelly Services, Inc.",873.23M,-,46,4.84B
349,TH,Target Hospitality Corp.,865.14M,0.35%,555908,589.83M
350,ATSG,"Air Transport Services Group, Inc.",863.72M,-3.21%,465912,2.07B
351,ERII,"Energy Recovery, Inc.",859.03M,-1.99%,402603,128.35M
352,KELYA,"Kelly Services, Inc.",852.14M,0.75%,188411,4.84B
353,SKYH,Sky Harbour Group Corporation,842.09M,1.25%,35630,5.95M
354,NAT,Nordic American Tankers Limited,841.45M,0.25%,2504591,339.34M
355,VLRS,"Controladora Vuela Compañía de Aviación, SAB de CV",822.75M,-2.32%,325829,2.85B
356,EH,EHang Holdings Limited,814.09M,13.48%,2763915,10.52M
357,RGR,"Sturm, Ruger & Company, Inc.",802.31M,-0.04%,138635,543.77M
358,CYRX,"Cryoport, Inc.",802.03M,-0.49%,540468,236.35M
359,SPLP,Steel Partners Holdings L.P.,797.69M,1.32%,166,1.91B
360,SWBI,"Smith & Wesson Brands, Inc.",795.63M,0.37%,926672,521.46M
361,PCT,"PureCycle Technologies, Inc.",790.45M,2.70%,1814724,-
362,BBSI,"Barrett Business Services, Inc.",787.38M,0.82%,22876,1.07B
363,CECO,CECO Environmental Corp.,783.10M,-1.57%,231038,544.85M
364,VVI,Viad Corp,765.93M,-1.76%,68568,1.24B
365,HAYN,"Haynes International, Inc.",759.57M,-0.03%,203048,604.64M
366,SNCY,"Sun Country Airlines Holdings, Inc.",746.07M,-0.93%,666021,1.05B
367,DCO,Ducommun Incorporated,735.72M,-0.76%,74191,756.99M
368,DXPE,"DXP Enterprises, Inc.",727.61M,-,98087,1.68B
369,PBI,Pitney Bowes Inc.,723.77M,-0.73%,567206,3.27B
370,HA,"Hawaiian Holdings, Inc.",716.22M,-0.36%,930466,2.72B
